Date,Info Tech (VGT),Healthcare (VHT),Cons Disc (VCR),Comm Serv (VOX),Finance (VFH),Industrials (VIS),Cons Staples (VDC),Utilities (VPU),Materials (VAW),Real Estate (VNQ),Energy (VDE),S&P 500 (SPY)
2008-01-02 00:00:00-05:00,59.01,60.14,52.12,74.14,51.48,71.95,69.99,86.6,87.18,61.27,114.53,144.55
2008-01-03 00:00:00-05:00,58.71,60.4,51.33,73.86,51.03,72.12,69.62,86.62,87.97,59.06,115.26,144.46
2008-01-04 00:00:00-05:00,56.23,59.76,49.73,72.16,49.62,70.2,69.01,86.67,85.43,56.94,112.36,140.93
2008-01-07 00:00:00-05:00,55.7,60.87,49.87,73.0,49.85,69.66,70.2,88.35,84.35,57.52,110.89,141.46
2008-01-08 00:00:00-05:00,54.19,61.25,48.82,70.49,48.05,67.8,69.83,88.26,82.64,55.49,109.34,138.81
2008-01-09 00:00:00-05:00,55.13,62.19,49.1,70.75,48.81,68.24,70.44,89.26,83.22,56.42,111.1,140.78
2008-01-10 00:00:00-05:00,55.37,62.41,49.69,72.0,49.8,69.11,71.03,88.92,84.51,57.13,110.36,141.8
2008-01-11 00:00:00-05:00,54.18,62.36,48.36,70.12,49.61,67.8,69.61,88.5,83.76,57.34,108.86,140.01
2008-01-14 00:00:00-05:00,55.5,62.14,48.77,70.87,50.03,68.61,69.48,88.61,86.43,57.11,110.74,141.46
2008-01-15 00:00:00-05:00,54.23,61.2,47.6,69.42,48.35,66.97,68.53,87.53,83.85,55.67,106.92,137.95
2008-01-16 00:00:00-05:00,53.22,61.6,48.18,69.51,48.98,66.62,68.46,86.29,81.24,56.56,103.31,137.15
2008-01-17 00:00:00-05:00,52.31,60.52,47.3,67.98,46.89,64.11,67.48,83.21,76.86,55.82,99.3,133.23
2008-01-18 00:00:00-05:00,52.49,59.5,47.3,65.0,46.16,64.59,66.75,81.97,77.82,55.19,99.41,132.49
2008-01-22 00:00:00-05:00,51.01,57.88,47.96,63.79,47.2,64.54,65.96,79.44,77.36,56.97,96.96,131.02
2008-01-23 00:00:00-05:00,50.97,57.51,49.86,64.17,50.15,66.05,66.73,81.52,77.21,61.13,97.1,133.81
2008-01-24 00:00:00-05:00,52.53,57.49,50.28,64.35,50.48,66.61,66.6,79.93,80.36,60.64,100.19,135.0
2008-01-25 00:00:00-05:00,51.74,56.64,49.26,63.78,49.39,66.38,65.82,78.66,80.35,59.95,99.78,132.98
2008-01-28 00:00:00-05:00,51.93,57.36,50.34,64.93,50.94,67.44,66.54,79.69,81.86,61.81,101.03,135.32
2008-01-29 00:00:00-05:00,52.04,57.58,50.72,67.09,51.6,67.98,66.6,80.19,82.76,61.42,101.64,136.07
2008-01-30 00:00:00-05:00,51.96,56.94,50.26,65.83,50.88,68.02,66.14,79.99,82.31,60.0,100.71,135.36
2008-01-31 00:00:00-05:00,52.76,57.53,52.04,67.22,52.28,69.19,67.02,81.6,83.72,61.16,100.9,137.33
2008-02-01 00:00:00-05:00,53.23,58.2,52.88,67.8,53.41,70.48,67.98,82.74,85.82,63.53,102.4,139.45
2008-02-04 00:00:00-05:00,52.51,58.37,51.72,67.87,52.21,69.88,67.47,84.16,84.88,62.87,102.8,138.0
2008-02-05 00:00:00-05:00,50.97,57.28,50.4,64.94,50.04,67.75,66.29,81.52,81.91,60.65,99.21,133.7
2008-02-06 00:00:00-05:00,50.23,57.24,49.81,64.26,49.44,67.43,66.03,81.22,81.17,59.59,97.29,132.72
2008-02-07 00:00:00-05:00,50.08,57.38,50.72,64.31,50.36,67.63,66.83,81.02,81.56,60.93,98.56,133.78
2008-02-08 00:00:00-05:00,50.66,56.73,50.36,64.01,49.25,67.33,66.38,80.59,83.05,59.12,100.2,133.12
2008-02-11 00:00:00-05:00,51.31,56.76,50.95,64.5,48.5,68.0,67.03,81.12,84.67,57.92,102.86,133.91
2008-02-12 00:00:00-05:00,51.25,57.32,51.22,65.48,49.13,68.38,67.66,81.79,84.6,59.57,102.34,134.94
2008-02-13 00:00:00-05:00,52.47,57.65,51.85,67.19,49.55,69.93,67.89,82.03,85.79,60.04,105.38,136.71
2008-02-14 00:00:00-05:00,51.41,56.96,51.03,65.72,48.62,68.96,67.11,81.65,85.38,58.92,105.27,135.01
2008-02-15 00:00:00-05:00,51.16,57.16,51.12,65.7,48.86,68.53,67.49,81.43,85.23,59.4,104.78,135.06
2008-02-19 00:00:00-05:00,50.71,57.37,50.73,63.64,48.48,68.61,67.46,81.77,86.66,58.72,107.68,135.04
2008-02-20 00:00:00-05:00,51.38,57.23,51.22,62.58,49.2,68.88,67.51,81.69,87.82,59.62,109.25,136.11
2008-02-21 00:00:00-05:00,50.93,56.6,50.28,61.95,48.51,68.24,67.2,80.16,86.52,58.4,106.89,134.48
2008-02-22 00:00:00-05:00,51.06,56.72,50.84,62.63,49.22,68.7,67.68,81.11,87.12,59.57,107.88,135.64
2008-02-25 00:00:00-05:00,51.53,57.67,51.7,63.39,49.82,69.91,68.17,81.52,89.44,61.43,110.69,137.31
2008-02-26 00:00:00-05:00,52.03,57.89,52.44,64.06,49.93,70.08,68.65,82.13,89.61,61.45,112.29,138.35
2008-02-27 00:00:00-05:00,52.37,57.51,52.34,63.36,50.3,69.82,68.55,80.97,89.67,61.16,111.29,138.12
2008-02-28 00:00:00-05:00,51.87,57.07,51.1,63.37,48.97,69.49,68.22,80.45,89.32,60.09,112.92,136.99
2008-02-29 00:00:00-05:00,50.65,56.2,49.52,61.46,47.16,67.73,67.03,78.35,86.4,59.04,109.6,133.23
2008-03-03 00:00:00-05:00,50.31,56.21,49.61,61.24,46.62,68.16,67.33,78.86,87.25,59.53,110.35,133.41
2008-03-04 00:00:00-05:00,50.49,56.19,49.61,60.75,46.3,67.84,67.43,80.12,85.68,59.33,109.11,132.92
2008-03-05 00:00:00-05:00,50.88,56.14,49.66,61.47,45.99,68.47,67.67,80.21,87.76,59.42,110.49,133.7
2008-03-06 00:00:00-05:00,49.9,54.94,48.24,60.1,44.32,67.1,66.83,78.54,86.35,57.07,108.24,130.82
2008-03-07 00:00:00-05:00,49.86,54.34,47.81,59.93,44.45,66.1,66.46,78.34,83.44,57.77,106.04,129.71
2008-03-10 00:00:00-04:00,49.37,53.52,46.96,58.43,43.35,64.59,66.22,77.84,80.39,57.1,104.51,127.86
2008-03-11 00:00:00-04:00,50.96,53.44,48.47,60.23,46.3,67.05,67.35,79.86,85.16,60.65,109.12,132.39
2008-03-12 00:00:00-04:00,50.76,53.39,48.22,59.05,45.4,67.11,67.3,79.06,85.04,59.61,107.44,131.31
2008-03-13 00:00:00-04:00,50.89,53.54,48.58,59.13,45.6,67.6,67.3,79.13,86.72,60.25,109.05,131.92
2008-03-14 00:00:00-04:00,49.97,52.69,47.66,57.85,44.07,66.6,66.29,78.49,85.68,59.43,107.5,129.25
2008-03-17 00:00:00-04:00,49.72,52.4,46.89,58.18,43.45,66.21,65.97,78.1,83.68,59.36,104.56,127.9
2008-03-18 00:00:00-04:00,51.47,53.58,48.75,59.94,46.54,68.94,67.46,79.55,86.69,61.89,107.81,133.32
2008-03-19 00:00:00-04:00,50.29,53.46,48.23,58.88,45.8,67.34,67.17,78.09,81.79,61.6,102.0,130.36
2008-03-20 00:00:00-04:00,50.99,53.89,49.72,60.36,48.7,68.43,68.21,78.25,81.55,64.0,102.45,132.73
2008-03-24 00:00:00-04:00,52.37,54.35,51.4,62.23,48.99,69.62,68.95,78.07,84.05,64.98,103.66,134.77
2008-03-25 00:00:00-04:00,52.55,54.41,51.3,62.51,48.68,70.16,69.18,77.49,86.29,64.76,104.92,135.05
2008-03-26 00:00:00-04:00,52.1,54.2,50.26,61.95,47.23,69.77,68.99,77.86,86.45,63.4,107.41,133.83
2008-03-27 00:00:00-04:00,50.99,54.19,49.54,61.79,46.35,69.08,68.81,78.42,85.49,62.75,106.66,132.45
2008-03-28 00:00:00-04:00,50.59,53.76,48.36,61.11,45.44,68.7,68.69,77.57,85.0,62.07,105.87,131.4
2008-03-31 00:00:00-04:00,51.0,53.61,49.05,61.99,45.82,69.25,68.81,78.44,85.0,62.39,106.94,131.94
2008-04-01 00:00:00-04:00,52.76,54.95,51.13,63.9,48.9,71.5,69.94,80.3,87.27,65.78,108.57,136.81
2008-04-02 00:00:00-04:00,52.57,54.61,51.27,63.5,48.75,71.45,69.5,80.9,87.93,65.55,110.15,136.65
2008-04-03 00:00:00-04:00,52.71,54.55,51.18,64.33,48.88,71.43,69.43,80.5,89.32,67.11,110.6,136.79
2008-04-04 00:00:00-04:00,52.77,55.03,50.99,63.62,48.24,71.69,69.61,80.81,90.8,66.15,111.77,136.97
2008-04-07 00:00:00-04:00,52.68,55.27,50.9,64.07,48.65,71.48,69.56,81.02,90.59,65.94,112.16,137.05
2008-04-08 00:00:00-04:00,52.23,55.16,50.58,64.03,47.88,71.32,69.41,81.37,90.98,65.14,113.21,136.46
2008-04-09 00:00:00-04:00,51.87,54.76,49.56,62.64,47.05,70.37,68.78,81.52,90.19,63.73,113.63,135.39
2008-04-10 00:00:00-04:00,52.71,55.31,49.99,62.56,47.01,70.96,69.02,81.12,90.52,64.29,113.74,135.94
2008-04-11 00:00:00-04:00,51.29,54.41,49.01,61.33,46.18,67.93,68.42,81.06,89.3,63.5,112.2,133.28
2008-04-14 00:00:00-04:00,51.0,54.28,48.68,61.22,45.18,68.06,68.44,81.03,89.07,63.15,114.14,132.81
2008-04-15 00:00:00-04:00,51.0,54.09,48.72,61.31,45.58,68.18,68.8,81.96,89.48,63.8,115.22,133.5
2008-04-16 00:00:00-04:00,52.57,54.57,49.56,62.72,47.02,70.01,69.29,83.81,93.64,66.26,118.6,136.22
2008-04-17 00:00:00-04:00,52.62,54.03,49.79,62.19,47.62,69.45,68.92,83.85,93.3,66.59,118.57,136.48
2008-04-18 00:00:00-04:00,54.25,54.57,50.74,63.15,48.38,71.24,69.18,84.24,94.57,66.51,121.16,138.93
2008-04-21 00:00:00-04:00,54.69,54.44,50.66,63.23,47.65,71.08,69.26,83.74,94.71,65.81,122.29,138.79
2008-04-22 00:00:00-04:00,54.0,53.72,49.93,62.65,47.2,70.22,68.68,83.16,93.31,65.44,122.16,137.69
2008-04-23 00:00:00-04:00,54.64,54.41,50.04,64.13,46.92,70.2,69.23,83.69,91.98,66.44,121.21,137.97
2008-04-24 00:00:00-04:00,55.36,54.42,50.81,64.74,48.49,70.9,69.16,83.39,90.65,67.95,118.69,138.75
2008-04-25 00:00:00-04:00,54.82,54.9,51.27,65.34,49.25,71.46,68.88,83.52,93.15,68.06,120.2,139.76
2008-04-28 00:00:00-04:00,54.7,55.14,51.33,65.52,49.21,71.59,68.95,83.5,92.31,67.98,119.98,139.62
2008-04-29 00:00:00-04:00,55.09,54.71,51.68,66.12,48.98,71.26,69.14,82.99,89.53,67.2,117.95,139.07
2008-04-30 00:00:00-04:00,54.6,54.39,51.15,65.87,48.48,71.11,68.77,82.98,89.98,66.27,118.8,138.43
2008-05-01 00:00:00-04:00,56.37,55.28,52.63,67.74,50.26,72.06,69.26,83.89,89.57,67.7,116.43,140.94
2008-05-02 00:00:00-04:00,56.15,55.24,52.61,68.04,50.38,72.31,69.11,84.5,90.61,67.54,117.9,141.34
2008-05-05 00:00:00-04:00,55.98,55.14,51.99,67.3,49.77,72.03,69.14,83.87,91.83,67.53,119.49,140.71
2008-05-06 00:00:00-04:00,56.47,55.1,52.2,67.61,50.18,72.43,69.26,83.9,93.0,67.86,122.41,141.84
2008-05-07 00:00:00-04:00,55.69,54.29,51.44,67.03,48.41,71.2,68.61,82.75,91.67,65.99,120.89,139.28
2008-05-08 00:00:00-04:00,56.11,54.57,51.34,67.08,48.0,71.74,68.74,83.04,93.35,65.82,123.19,139.84
2008-05-09 00:00:00-04:00,55.86,54.29,51.16,66.74,47.61,71.31,68.32,83.18,92.38,65.4,122.9,138.93
2008-05-12 00:00:00-04:00,56.54,54.76,52.16,67.24,48.39,72.3,68.97,83.93,94.06,66.92,122.4,140.47
